id,date,message
1,"2015-03-04 15:11:23","Student with id=1 has not been registered for course with id=3."
2,"2015-03-04 15:11:23","Student with id=4 has either been already passed Course with id=4."
3,"2015-03-04 15:11:23","Course with id=9 does not exist!"
4,"2015-03-04 15:11:23","Student with id=1 has either been already passed Course with id=1."
5,"2015-03-04 15:11:23","Student with id=3 has not been registered for course with id=3."
6,"2015-03-04 15:11:23","Student with id=4 has either been already passed Course with id=4."
1,"2015-03-04 15:12:30","Student with id=1 has not been registered for course with id=3."
2,"2015-03-04 15:12:30","Student with id=4 has already passed Course with id=4."
3,"2015-03-04 15:12:30","Course with id=9 does not exist!"
4,"2015-03-04 15:12:30","Student with id=1 has already passed Course with id=1."
5,"2015-03-04 15:12:30","Student with id=3 has not been registered for course with id=3."
6,"2015-03-04 15:12:30","Student with id=4 has already passed Course with id=4."
1,"2015-03-04 15:12:52","Student with id=1 has not been registered for course with id=3."
2,"2015-03-04 15:12:52","Student with id=4 has already passed Course with id=4."
3,"2015-03-04 15:12:52","Course with id=9 does not exist!"
4,"2015-03-04 15:12:52","Student with id=1 has already passed Course with id=1."
5,"2015-03-04 15:12:52","Student with id=3 has not been registered for course with id=3."
6,"2015-03-04 15:12:52","Student with id=4 has already passed Course with id=4."
1,"2015-03-04 15:13:08","Student with id=1 has not been registered for course with id=3."
2,"2015-03-04 15:13:08","Student with id=4 has already passed Course with id=4."
3,"2015-03-04 15:13:08","Course with id=9 does not exist!"
4,"2015-03-04 15:13:08","Student with id=1 has already passed Course with id=1."
5,"2015-03-04 15:13:08","Student with id=3 has not been registered for course with id=3."
6,"2015-03-04 15:13:08","Student with id=4 has already passed Course with id=4."
1,"2015-03-04 15:14:27","Student with id=1 has not been registered for course with id=3."
2,"2015-03-04 15:14:27","Student with id=4 has already passed Course with id=4."
3,"2015-03-04 15:14:27","Course with id=9 does not exist!"
4,"2015-03-04 15:14:27","Student with id=1 has already passed Course with id=1."
5,"2015-03-04 15:14:27","Student with id=3 has not been registered for course with id=3."
6,"2015-03-04 15:14:27","Student with id=4 has already passed Course with id=4."
1,"2015-03-04 15:15:23","Student with id=1 has not been registered for course with id=3."
2,"2015-03-04 15:15:23","Student with id=4 has already passed Course with id=4."
3,"2015-03-04 15:15:23","Course with id=9 does not exist!"
4,"2015-03-04 15:15:23","Student with id=1 has already passed Course with id=1."
5,"2015-03-04 15:15:23","Student with id=3 has not been registered for course with id=3."
6,"2015-03-04 15:15:23","Student with id=4 has already passed Course with id=4."
1,"2015-03-04 15:19:18","Student with id=1 has not been registered for course with id=3."
2,"2015-03-04 15:19:18","Student with id=4 has already passed Course with id=4."
3,"2015-03-04 15:19:18","Course with id=9 does not exist!"
4,"2015-03-04 15:19:18","Student with id=1 has already passed Course with id=1."
5,"2015-03-04 15:19:18","Student with id=3 has not been registered for course with id=3."
6,"2015-03-04 15:19:18","Student with id=4 has already passed Course with id=4."
1,"2015-03-04 15:20:59","Student with id=1 has not been registered for course with id=3."
2,"2015-03-04 15:20:59","Student with id=4 has already passed Course with id=4."
3,"2015-03-04 15:20:59","Course with id=9 does not exist!"
4,"2015-03-04 15:20:59","Student with id=1 has already passed Course with id=1."
5,"2015-03-04 15:20:59","Student with id=3 has not been registered for course with id=3."
6,"2015-03-04 15:20:59","Student with id=4 has already passed Course with id=4."
